SpeciesName,longitude,latitude,Bio1,Bio12,TempMin,TempMax,PrecMin,PrecMax
Amaranthus_cruentus_L.,-0.635,51.376,99,700,40,300,300,2800
Amaranthus_cruentus_L.,-1.203,51.741,98,643,40,300,300,2800
Amaranthus_cruentus_L.,-1.925,53.272,84,1144,40,300,300,2800
Amaranthus_cruentus_L.,-1.605,55.428,84,698,40,300,300,2800
Amaranthus_cruentus_L.,-1.066,51.38,98,730,40,300,300,2800
Amaranthus_cruentus_L.,-1.053,52.009,94,631,40,300,300,2800
Amaranthus_cruentus_L.,-3.762,50.471,97,996,40,300,300,2800
Amaranthus_cruentus_L.,0.7,52.072,95,544,40,300,300,2800
Amaranthus_cruentus_L.,0.716,52.341,93,582,40,300,300,2800
Amaranthus_cruentus_L.,1.595,52.318,98,592,40,300,300,2800
Amaranthus_cruentus_L.,0.569,52.345,94,548,40,300,300,2800
Amaranthus_cruentus_L.,1.435,52.143,97,585,40,300,300,2800
Amaranthus_cruentus_L.,0.84,51.979,97,546,40,300,300,2800
Amaranthus_cruentus_L.,-3.236,51.917,83,1213,40,300,300,2800
Amaranthus_cruentus_L.,0.927,51.077,103,664,40,300,300,2800
Amaranthus_cruentus_L.,-1.772,53.811,89,941,40,300,300,2800
Amaranthus_cruentus_L.,-2.073,52.193,96,645,40,300,300,2800
Amaranthus_cruentus_L.,-1.021,53.447,96,602,40,300,300,2800
Amaranthus_cruentus_L.,0.11,51.792,100,614,40,300,300,2800
Amaranthus_cruentus_L.,-1.928,51.473,94,711,40,300,300,2800
Amaranthus_cruentus_L.,-3.656,51.462,101,1100,40,300,300,2800
Amaranthus_cruentus_L.,7.58,51.36,91,862,40,300,300,2800
Amaranthus_cruentus_L.,10.58,50.26,81,617,40,300,300,2800
Amaranthus_cruentus_L.,7.42,51.56,95,818,40,300,300,2800
Amaranthus_cruentus_L.,13.42,52.56,90,568,40,300,300,2800
Amaranthus_cruentus_L.,9.92,49.36,84,728,40,300,300,2800
Amaranthus_cruentus_L.,12.42,51.46,89,527,40,300,300,2800
Amaranthus_cruentus_L.,12.08,50.46,73,663,40,300,300,2800
Amaranthus_cruentus_L.,8.58,52.06,88,830,40,300,300,2800
Amaranthus_cruentus_L.,13.75,51.16,88,623,40,300,300,2800
Amaranthus_cruentus_L.,13.42,50.96,73,671,40,300,300,2800
Amaranthus_cruentus_L.,13.58,50.86,67,695,40,300,300,2800
Amaranthus_cruentus_L.,11.25,51.76,87,528,40,300,300,2800
Amaranthus_cruentus_L.,12.92,51.36,88,573,40,300,300,2800
Amaranthus_cruentus_L.,14.92,51.16,83,625,40,300,300,2800
Amaranthus_cruentus_L.,16.423,56.577,75,506,40,300,300,2800
Amaranthus_cruentus_L.,12.961,56.547,77,772,40,300,300,2800
Amaranthus_cruentus_L.,11.807,57.697,71,710,40,300,300,2800
Amaranthus_cruentus_L.,16.422,56.577,75,506,40,300,300,2800
Amaranthus_cruentus_L.,12.861,55.861,80,652,40,300,300,2800
Amaranthus_cruentus_L.,15.866,56.949,68,561,40,300,300,2800
Amaranthus_cruentus_L.,16.792,56.98,76,478,40,300,300,2800
